,Country,Code,Year,"Female (deaths per 100,000)","Male (deaths per 100,000)","Both sexes (deaths per 100,000)",Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
153,Netherlands,NLD,2016,5.66,13.11,9.306815789319012,7,192.4,129.34,68.53,70.43,72.12,5.87,35.51,32.79,76.28
154,New Zealand,NZL,2013,5.49,17.12,11.094573016310024,13,163.17,85.55,58.21,76.04,110.45,5.94,26.57,21.8,-
155,New Zealand,NZL,2014,5.25,16.99,10.912077194798092,11,168.56,87.58,57.15,77.83,104.48,5.3,26.57,21.02,-
156,New Zealand,NZL,2015,5.46,16.79,10.926653135338748,10,175.51,90.99,60.24,72.61,93.71,5.78,28.1,17.61,-
157,New Zealand,NZL,2016,5.48,17.35,11.20023326104295,3,201.06,115.47,63.63,72.6,78.17,6.28,31.1,19.04,88.35
158,Nigeria,NGA,2015,5.25,9.91,7.521572103034707,79,2.99,40.23,23.4,38.4,59.4,10.74,58.67,76.29,-
159,Norway,NOR,2013,5.46,14.72,10.106149975342497,8,173.86,97.29,74.39,80.51,164.92,7.3,27.08,23.35,-
160,Norway,NOR,2014,5.28,13.99,9.654408333818552,13,168.41,94.4,66.27,75.71,144.45,7.42,24.5,22.57,-
161,Norway,NOR,2015,5.4,13.24,9.332552789078864,11,175.09,96.3,68.81,75.46,118.59,7.74,25.3,23.7,-
162,Norway,NOR,2016,5.34,13.03,9.201910752060595,8,188.9,125.75,69.89,74.23,99.8,7.36,29.48,18.21,56.33
163,Pakistan,PAK,2013,4.71,4.58,4.655147941729145,63,7.67,26.38,38.48,47.88,32.83,17.49,16.0,86.96,-
164,Pakistan,PAK,2014,4.67,4.6,4.640484571478346,60,22.32,31.53,36.25,50.4,29.69,13.92,25.12,80.25,-
165,Pakistan,PAK,2015,4.56,4.56,4.564877887259427,74,21.82,33.21,38.84,51.16,30.71,14.32,25.14,83.73,-
166,Pakistan,PAK,2016,4.48,4.54,4.510080278396742,48,93.99,43.34,43.37,61.27,26.69,15.27,36.85,76.64,41.17
167,Panama,PAN,2013,1.56,8.99,5.260817678524544,38,86.81,37.69,51.54,82.41,50.77,10.83,31.67,48.08,-
168,Panama,PAN,2015,1.58,8.42,4.983266554545248,44,89.27,43.34,49.92,82.14,55.16,10.79,28.12,50.91,-
